R,1,1,1
R,2,2,2
R,3,3,3
R,4,4,4
R,5,5,5
R,6,6,6
R,7,7,7
R,8,8,8
R,9,9,9
R,10,10,10
R,11,11,11
R,12,12,12
R,13,13,13
R,14,14,14
R,15,15,15
R,16,16,16
0,1,17,1
250,9,18,9
310,5,19,5
320,6,20,6
330,11,21,11
330,15,22,15
330,4,23,4
340,12,24,12
340,7,25,7
350,8,26,8
350,14,27,14
350,16,28,16
350,3,29,3
360,2,30,2
380,13,31,13
390,10,32,10
400,17,33,17
460,1,34,1
530,9,35,9
640,4,36,4
660,11,37,11
660,15,38,15
660,18,39,18
660,33,40,33
660,19,41,19
670,14,42,14
680,22,43,22
680,23,44,23
680,3,45,3
700,6,46,6
700,7,47,7
700,17,48,17
700,26,49,26
700,8,50,8
720,12,51,12
720,16,52,16
720,20,53,20
720,24,54,24
720,28,55,28
720,13,56,13
730,25,57,25
730,2,58,2
740,29,59,29
740,31,60,31
740,30,61,30
750,21,62,21
770,27,63,27
780,34,64,34
780,5,65,5
790,10,66,10
830,1,67,1
840,32,68,32
840,33,69,33
880,40,70,40
890,48,71,48
920,17,72,17
960,35,73,35
980,36,74,36
980,18,75,18
1000,9,76,9
1010,15,77,15
1020,19,78,19
1020,14,79,14
1030,22,80,22
1040,41,81,41
1040,64,82,64
1040,23,83,23
1050,37,84,37
1050,42,85,42
1050,43,86,43
1050,7,87,7
1060,11,88,11
1060,28,89,28
1060,44,90,44
1060,26,91,26
1070,34,92,34
1070,38,93,38
1070,45,94,45
1070,3,95,3
1080,4,96,4
1080,51,97,51
1080,67,98,67
1080,13,99,13
1090,39,100,39
1090,49,101,49
1090,52,102,52
1090,6,103,6
1100,16,104,16
1100,56,105,56
1100,31,106,31
1120,47,107,47
1120,50,108,50
1120,57,109,57
1120,58,110,58
1130,59,111,59
1130,8,112,8
1140,12,113,12
1140,29,114,29
1140,33,115,33
1140,60,116,60
1140,61,117,61
1140,70,118,70
1140,2,119,2
1150,24,120,24
1150,30,121,30
1150,40,122,40
1150,27,123,27
1160,69,124,69
1160,54,125,54
1170,55,126,55
1170,63,127,63
1170,1,128,1
1180,46,129,46
1180,53,130,53
1180,62,131,62
1180,48,132,48
1200,71,133,71
1200,21,134,21
1230,72,135,72
1230,17,136,17
1240,5,137,5
1260,25,138,25
1270,66,139,66
1290,20,140,20
1300,64,141,64
1320,82,142,82
1330,68,143,68
1340,92,144,92
1350,34,145,34
1370,67,146,67
1370,10,147,10
1380,74,148,74
1380,98,149,98
1390,32,150,32
1410,36,151,36
1410,73,152,73
1410,80,153,80
1410,79,154,79
1430,22,155,22
1440,14,156,14
1450,23,157,23
1450,42,158,42
1450,86,159,86
1450,33,160,33
1460,40,161,40
1460,122,162,122
1460,83,163,83
1470,15,164,15
1480,26,165,26
1480,70,166,70
1480,28,167,28
1490,89,168,89
1490,115,169,115
1490,118,170,118
1490,128,171,128
1490,85,172,85
1500,90,173,90
1500,102,174,102
1500,45,175,45
1510,91,176,91
1510,43,177,43
1520,97,178,97
1520,101,179,101
1520,124,180,124
1520,44,181,44
1540,77,182,77
1540,88,183,88
1540,94,184,94
1540,51,185,51
1550,105,186,105
1550,49,187,49
1560,52,188,52
1560,69,189,69
1560,31,190,31
1570,106,191,106
1580,12,192,12
1590,48,193,48
1590,60,194,60
1590,116,195,116
1590,72,196,72
1600,104,197,104
1600,135,198,135
1610,136,199,136
1610,63,200,63
1630,125,201,125
1630,127,202,127
1630,71,203,71
1640,17,204,17
1660,24,205,24
1660,54,206,54
1660,111,207,111
1660,113,208,113
1660,39,209,39
1670,132,210,132
1670,27,211,27
1680,93,212,93
1680,120,213,120
1720,133,214,133
1720,64,215,64
1740,38,216,38
1750,92,217,92
1760,131,218,131
1760,82,219,82
1770,123,220,123
1800,141,221,141
1810,142,222,142
1810,80,223,80
1830,153,224,153
1840,160,225,160
1850,14,226,14
1860,16,227,16
1860,74,228,74
1860,126,229,126
1860,36,230,36
1870,144,231,144
1870,26,232,26
1880,34,233,34
1880,155,234,155
1880,83,235,83
1890,86,236,86
1890,134,237,134
1890,149,238,149
